Year,Sector,CO2,CH4,N2O,HFCs
2034,Biomass Burning in Croplands and Grasslands,NA,497.3473000000049,109.05046666666726,NA
2035,Biomass Burning in Croplands and Grasslands,NA,505.7840000000033,109.61666666666724,NA
2036,Biomass Burning in Croplands and Grasslands,NA,514.2207000000053,110.18286666666745,NA
2037,Biomass Burning in Croplands and Grasslands,NA,522.6574000000073,110.74906666666743,NA
2038,Biomass Burning in Croplands and Grasslands,NA,531.0941000000057,111.31526666666741,NA
2039,Biomass Burning in Croplands and Grasslands,NA,539.5308000000077,111.8814666666674,NA
2040,Biomass Burning in Croplands and Grasslands,NA,547.9675000000061,112.4476666666676,NA
2041,Biomass Burning in Croplands and Grasslands,NA,556.4042000000081,113.01386666666758,NA
2042,Biomass Burning in Croplands and Grasslands,NA,564.8409000000102,113.58006666666756,NA
2043,Biomass Burning in Croplands and Grasslands,NA,573.2776000000085,114.14626666666777,NA
2044,Biomass Burning in Croplands and Grasslands,NA,581.7143000000106,114.71246666666775,NA
2045,Biomass Burning in Croplands and Grasslands,NA,590.1510000000089,115.27866666666773,NA
2046,Biomass Burning in Croplands and Grasslands,NA,598.587700000011,115.84486666666771,NA
2047,Biomass Burning in Croplands and Grasslands,NA,607.0244000000093,116.41106666666792,NA
2048,Biomass Burning in Croplands and Grasslands,NA,615.4611000000114,116.9772666666679,NA
2049,Biomass Burning in Croplands and Grasslands,NA,623.8978000000134,117.54346666666788,NA
2050,Biomass Burning in Croplands and Grasslands,NA,632.3345000000118,118.10966666666809,NA
2010,Biomass Carbon Stock,11084,NA,NA,NA
2015,Biomass Carbon Stock,31208.001,NA,NA,NA
2020,Biomass Carbon Stock,11247.006,NA,NA,NA
2021,Biomass Carbon Stock,17944.139266666054,NA,NA,NA
2022,Biomass Carbon Stock,17960.439866665954,NA,NA,NA
2023,Biomass Carbon Stock,17976.740466665855,NA,NA,NA
2024,Biomass Carbon Stock,17993.041066665755,NA,NA,NA
2025,Biomass Carbon Stock,18009.341666665656,NA,NA,NA
2026,Biomass Carbon Stock,18025.642266665556,NA,NA,NA
2027,Biomass Carbon Stock,18041.942866665457,NA,NA,NA
2028,Biomass Carbon Stock,18058.243466665357,NA,NA,NA
2029,Biomass Carbon Stock,18074.544066665258,NA,NA,NA
2030,Biomass Carbon Stock,18090.844666665158,NA,NA,NA
2031,Biomass Carbon Stock,18107.14526666506,NA,NA,NA
2032,Biomass Carbon Stock,18123.44586666496,NA,NA,NA
2033,Biomass Carbon Stock,18139.74646666486,NA,NA,NA
2034,Biomass Carbon Stock,18156.04706666476,NA,NA,NA
2035,Biomass Carbon Stock,18172.34766666466,NA,NA,NA
2036,Biomass Carbon Stock,18188.64826666456,NA,NA,NA
2037,Biomass Carbon Stock,18204.94886666446,NA,NA,NA
2038,Biomass Carbon Stock,18221.24946666436,NA,NA,NA
2039,Biomass Carbon Stock,18237.550066664255,NA,NA,NA
2040,Biomass Carbon Stock,18253.850666664155,NA,NA,NA
2041,Biomass Carbon Stock,18270.151266664056,NA,NA,NA
2042,Biomass Carbon Stock,18286.451866663956,NA,NA,NA
2043,Biomass Carbon Stock,18302.752466663856,NA,NA,NA
2044,Biomass Carbon Stock,18319.053066663757,NA,NA,NA
2045,Biomass Carbon Stock,18335.353666663657,NA,NA,NA
2046,Biomass Carbon Stock,18351.654266663558,NA,NA,NA
2047,Biomass Carbon Stock,18367.95486666346,NA,NA,NA
2048,Biomass Carbon Stock,18384.25546666336,NA,NA,NA
2049,Biomass Carbon Stock,18400.55606666326,NA,NA,NA
2050,Biomass Carbon Stock,18416.85666666316,NA,NA,NA
2010,Biomass Carbon Stock Agroforestry/Perennial Crop,-12973,NA,NA,NA
2015,Biomass Carbon Stock Agroforestry/Perennial Crop,2177.695,NA,NA,NA
2020,Biomass Carbon Stock Agroforestry/Perennial Crop,2125.769,NA,NA,NA
2021,Biomass Carbon Stock Agroforestry/Perennial Crop,6169.416066666599,NA,NA,NA
2022,Biomass Carbon Stock Agroforestry/Perennial Crop,7679.292966667097,NA,NA,NA
2023,Biomass Carbon Stock Agroforestry/Perennial Crop,9189.16986666713,NA,NA,NA
2024,Biomass Carbon Stock Agroforestry/Perennial Crop,10699.046766667161,NA,NA,NA
2025,Biomass Carbon Stock Agroforestry/Perennial Crop,12208.923666667193,NA,NA,NA
2026,Biomass Carbon Stock Agroforestry/Perennial Crop,13718.800566667225,NA,NA,NA
2027,Biomass Carbon Stock Agroforestry/Perennial Crop,15228.677466667257,NA,NA,NA
2028,Biomass Carbon Stock Agroforestry/Perennial Crop,16738.55436666729,NA,NA,NA
2029,Biomass Carbon Stock Agroforestry/Perennial Crop,18248.43126666732,NA,NA,NA
2030,Biomass Carbon Stock Agroforestry/Perennial Crop,19758.308166667353,NA,NA,NA
2031,Biomass Carbon Stock Agroforestry/Perennial Crop,21268.185066667385,NA,NA,NA
2032,Biomass Carbon Stock Agroforestry/Perennial Crop,22778.061966667883,NA,NA,NA
2033,Biomass Carbon Stock Agroforestry/Perennial Crop,24287.938866667915,NA,NA,NA
2034,Biomass Carbon Stock Agroforestry/Perennial Crop,25797.815766667947,NA,NA,NA
2035,Biomass Carbon Stock Agroforestry/Perennial Crop,27307.69266666798,NA,NA,NA
2036,Biomass Carbon Stock Agroforestry/Perennial Crop,28817.56956666801,NA,NA,NA
2037,Biomass Carbon Stock Agroforestry/Perennial Crop,30327.446466668043,NA,NA,NA
2038,Biomass Carbon Stock Agroforestry/Perennial Crop,31837.323366668075,NA,NA,NA
2039,Biomass Carbon Stock Agroforestry/Perennial Crop,33347.20026666811,NA,NA,NA
2040,Biomass Carbon Stock Agroforestry/Perennial Crop,34857.07716666814,NA,NA,NA
2041,Biomass Carbon Stock Agroforestry/Perennial Crop,36366.95406666817,NA,NA,NA
2042,Biomass Carbon Stock Agroforestry/Perennial Crop,37876.8309666682,NA,NA,NA
2043,Biomass Carbon Stock Agroforestry/Perennial Crop,39386.7078666687,NA,NA,NA
2044,Biomass Carbon Stock Agroforestry/Perennial Crop,40896.58476666873,NA,NA,NA
2045,Biomass Carbon Stock Agroforestry/Perennial Crop,42406.461666668765,NA,NA,NA
2046,Biomass Carbon Stock Agroforestry/Perennial Crop,43916.3385666688,NA,NA,NA
2047,Biomass Carbon Stock Agroforestry/Perennial Crop,45426.21546666883,NA,NA,NA
2048,Biomass Carbon Stock Agroforestry/Perennial Crop,46936.09236666886,NA,NA,NA
2049,Biomass Carbon Stock Agroforestry/Perennial Crop,48445.96926666889,NA,NA,NA
2050,Biomass Carbon Stock Agroforestry/Perennial Crop,49955.846166668925,NA,NA,NA
2010,Biomass Carbon Stock Deforestation,16125,NA,NA,NA
2015,Biomass Carbon Stock Deforestation,66644.506,NA,NA,NA
2020,Biomass Carbon Stock Deforestation,31302.244,NA,NA,NA
2021,Biomass Carbon Stock Deforestation,47130.26306666527,NA,NA,NA
2022,Biomass Carbon Stock Deforestation,48647.987466664985,NA,NA,NA
2023,Biomass Carbon Stock Deforestation,50165.7118666647,NA,NA,NA
2024,Biomass Carbon Stock Deforestation,51683.43626666488,NA,NA,NA
2025,Biomass Carbon Stock Deforestation,53201.1606666646,NA,NA,NA
2026,Biomass Carbon Stock Deforestation,54718.88506666431,NA,NA,NA
2027,Biomass Carbon Stock Deforestation,56236.60946666449,NA,NA,NA
2028,Biomass Carbon Stock Deforestation,57754.33386666421,NA,NA,NA
2029,Biomass Carbon Stock Deforestation,59272.05826666439,NA,NA,NA
2030,Biomass Carbon Stock Deforestation,60789.782666664105,NA,NA,NA
2031,Biomass Carbon Stock Deforestation,62307.50706666382,NA,NA,NA
2032,Biomass Carbon Stock Deforestation,63825.231466664,NA,NA,NA
2033,Biomass Carbon Stock Deforestation,65342.95586666372,NA,NA,NA
2034,Biomass Carbon Stock Deforestation,66860.6802666639,NA,NA,NA
2035,Biomass Carbon Stock Deforestation,68378.40466666361,NA,NA,NA
2036,Biomass Carbon Stock Deforestation,69896.12906666333,NA,NA,NA
2037,Biomass Carbon Stock Deforestation,71413.85346666351,NA,NA,NA
2038,Biomass Carbon Stock Deforestation,72931.577866663225,NA,NA,NA
2039,Biomass Carbon Stock Deforestation,74449.3022666634,NA,NA,NA
2040,Biomass Carbon Stock Deforestation,75967.02666666312,NA,NA,NA
2041,Biomass Carbon Stock Deforestation,77484.75106666284,NA,NA,NA
2042,Biomass Carbon Stock Deforestation,79002.47546666302,NA,NA,NA
2043,Biomass Carbon Stock Deforestation,80520.19986666273,NA,NA,NA
2044,Biomass Carbon Stock Deforestation,82037.92426666245,NA,NA,NA
2045,Biomass Carbon Stock Deforestation,83555.64866666263,NA,NA,NA
2046,Biomass Carbon Stock Deforestation,85073.37306666235,NA,NA,NA
2047,Biomass Carbon Stock Deforestation,86591.09746666253,NA,NA,NA
2048,Biomass Carbon Stock Deforestation,88108.82186666224,NA,NA,NA
2049,Biomass Carbon Stock Deforestation,89626.54626666196,NA,NA,NA
2050,Biomass Carbon Stock Deforestation,91144.27066666214,NA,NA,NA
2010,Biomass Carbon Stock Silvopasture,-51252,NA,NA,NA
2015,Biomass Carbon Stock Silvopasture,-65299.167,NA,NA,NA
2020,Biomass Carbon Stock Silvopasture,-71354.677,NA,NA,NA
2021,Biomass Carbon Stock Silvopasture,-74696.88753333315,NA,NA,NA
2022,Biomass Carbon Stock Silvopasture,-76707.15523333335,NA,NA,NA
2023,Biomass Carbon Stock Silvopasture,-78717.42293333355,NA,NA,NA
2024,Biomass Carbon Stock Silvopasture,-80727.69063333375,NA,NA,NA
2025,Biomass Carbon Stock Silvopasture,-82737.95833333349,NA,NA,NA
2026,Biomass Carbon Stock Silvopasture,-84748.22603333369,NA,NA,NA
2027,Biomass Carbon Stock Silvopasture,-86758.49373333389,NA,NA,NA
2028,Biomass Carbon Stock Silvopasture,-88768.76143333409,NA,NA,NA
2029,Biomass Carbon Stock Silvopasture,-90779.02913333429,NA,NA,NA
2030,Biomass Carbon Stock Silvopasture,-92789.29683333449,NA,NA,NA
2031,Biomass Carbon Stock Silvopasture,-94799.56453333469,NA,NA,NA
2032,Biomass Carbon Stock Silvopasture,-96809.83223333443,NA,NA,NA
2033,Biomass Carbon Stock Silvopasture,-98820.09993333463,NA,NA,NA
2034,Biomass Carbon Stock Silvopasture,-100830.36763333483,NA,NA,NA
2035,Biomass Carbon Stock Silvopasture,-102840.63533333503,NA,NA,NA
2036,Biomass Carbon Stock Silvopasture,-104850.90303333523,NA,NA,NA
2037,Biomass Carbon Stock Silvopasture,-106861.17073333543,NA,NA,NA
2038,Biomass Carbon Stock Silvopasture,-108871.43843333563,NA,NA,NA
2039,Biomass Carbon Stock Silvopasture,-110881.70613333536,NA,NA,NA
2040,Biomass Carbon Stock Silvopasture,-112891.97383333556,NA,NA,NA
2041,Biomass Carbon Stock Silvopasture,-114902.24153333576,NA,NA,NA
2042,Biomass Carbon Stock Silvopasture,-116912.50923333596,NA,NA,NA
2043,Biomass Carbon Stock Silvopasture,-118922.77693333616,NA,NA,NA
2044,Biomass Carbon Stock Silvopasture,-120933.04463333637,NA,NA,NA
2045,Biomass Carbon Stock Silvopasture,-122943.3123333361,NA,NA,NA
2046,Biomass Carbon Stock Silvopasture,-124953.5800333363,NA,NA,NA
2047,Biomass Carbon Stock Silvopasture,-126963.8477333365,NA,NA,NA
2048,Biomass Carbon Stock Silvopasture,-128974.1154333367,NA,NA,NA
2049,Biomass Carbon Stock Silvopasture,-130984.3831333369,NA,NA,NA
2050,Biomass Carbon Stock Silvopasture,-132994.6508333371,NA,NA,NA
2010,Chemical Industry,NA,NA,19,NA
2015,Chemical Industry,596.226,22.269,NA,NA
2020,Chemical Industry,559.974,20.915,NA,NA
2021,Chemical Industry,559.974,20.915,19,NA
2022,Chemical Industry,559.974,20.915,19,NA
2023,Chemical Industry,559.974,20.915,19,NA
2024,Chemical Industry,559.974,20.915,19,NA
2025,Chemical Industry,559.974,20.915,19,NA
2026,Chemical Industry,559.974,20.915,19,NA
2027,Chemical Industry,559.974,20.915,19,NA
2028,Chemical Industry,559.974,20.915,19,NA
2029,Chemical Industry,559.974,20.915,19,NA
2030,Chemical Industry,559.974,20.915,19,NA
2031,Chemical Industry,559.974,20.915,19,NA
2032,Chemical Industry,559.974,20.915,19,NA
2033,Chemical Industry,559.974,20.915,19,NA
2034,Chemical Industry,559.974,20.915,19,NA
2035,Chemical Industry,559.974,20.915,19,NA
2036,Chemical Industry,559.974,20.915,19,NA
2037,Chemical Industry,559.974,20.915,19,NA
2038,Chemical Industry,559.974,20.915,19,NA
2039,Chemical Industry,559.974,20.915,19,NA
2040,Chemical Industry,559.974,20.915,19,NA
2041,Chemical Industry,559.974,20.915,19,NA
2042,Chemical Industry,559.974,20.915,19,NA
2043,Chemical Industry,559.974,20.915,19,NA
2044,Chemical Industry,559.974,20.915,19,NA
2045,Chemical Industry,559.974,20.915,19,NA
2046,Chemical Industry,559.974,20.915,19,NA
2047,Chemical Industry,559.974,20.915,19,NA
2048,Chemical Industry,559.974,20.915,19,NA
2049,Chemical Industry,559.974,20.915,19,NA
2050,Chemical Industry,559.974,20.915,19,NA
2010,Direct N2O Emissions from Managed Soils,NA,NA,5694,NA
2015,Direct N2O Emissions from Managed Soils,NA,NA,6418.687,NA
2020,Direct N2O Emissions from Managed Soils,NA,NA,6875.216,NA
2021,Direct N2O Emissions from Managed Soils,NA,NA,7038.030599999969,NA
2022,Direct N2O Emissions from Managed Soils,NA,NA,7156.152199999953,NA
2023,Direct N2O Emissions from Managed Soils,NA,NA,7274.273799999966,NA
2024,Direct N2O Emissions from Managed Soils,NA,NA,7392.395399999979,NA
2025,Direct N2O Emissions from Managed Soils,NA,NA,7510.516999999993,NA
2026,Direct N2O Emissions from Managed Soils,NA,NA,7628.638600000006,NA
2027,Direct N2O Emissions from Managed Soils,NA,NA,7746.760200000019,NA
2028,Direct N2O Emissions from Managed Soils,NA,NA,7864.881800000003,NA
2029,Direct N2O Emissions from Managed Soils,NA,NA,7983.003400000016,NA
2030,Direct N2O Emissions from Managed Soils,NA,NA,8101.125000000029,NA
2031,Direct N2O Emissions from Managed Soils,NA,NA,8219.246600000042,NA
2032,Direct N2O Emissions from Managed Soils,NA,NA,8337.368200000055,NA
2033,Direct N2O Emissions from Managed Soils,NA,NA,8455.4898000000685,NA
2034,Direct N2O Emissions from Managed Soils,NA,NA,8573.611400000053,NA
2035,Direct N2O Emissions from Managed Soils,NA,NA,8691.733000000066,NA
2036,Direct N2O Emissions from Managed Soils,NA,NA,8809.854600000079,NA
2037,Direct N2O Emissions from Managed Soils,NA,NA,8927.976200000092,NA
2038,Direct N2O Emissions from Managed Soils,NA,NA,9046.097800000105,NA
2039,Direct N2O Emissions from Managed Soils,NA,NA,9164.219400000118,NA
2040,Direct N2O Emissions from Managed Soils,NA,NA,9282.341000000102,NA
2041,Direct N2O Emissions from Managed Soils,NA,NA,9400.462600000115,NA
2042,Direct N2O Emissions from Managed Soils,NA,NA,9518.584200000128,NA
2043,Direct N2O Emissions from Managed Soils,NA,NA,9636.705800000142,NA
2044,Direct N2O Emissions from Managed Soils,NA,NA,9754.827400000155,NA
2045,Direct N2O Emissions from Managed Soils,NA,NA,9872.949000000168,NA
2046,Direct N2O Emissions from Managed Soils,NA,NA,9991.070600000152,NA
2047,Direct N2O Emissions from Managed Soils,NA,NA,10109.192200000165,NA
2048,Direct N2O Emissions from Managed Soils,NA,NA,10227.313800000178,NA
2049,Direct N2O Emissions from Managed Soils,NA,NA,10345.435400000191,NA
2050,Direct N2O Emissions from Managed Soils,NA,NA,10463.557000000204,NA
2010,Direct N2O Emissions from Manure Management,NA,NA,420,NA
2015,Direct N2O Emissions from Manure Management,NA,NA,1212.954,NA
2020,Direct N2O Emissions from Manure Management,NA,NA,1220.157,NA
2021,Direct N2O Emissions from Manure Management,NA,NA,1431.1311999999743,NA
2022,Direct N2O Emissions from Manure Management,NA,NA,1511.1468999999925,NA
2023,Direct N2O Emissions from Manure Management,NA,NA,1591.1625999999815,NA
2024,Direct N2O Emissions from Manure Management,NA,NA,1671.1782999999996,NA
2025,Direct N2O Emissions from Manure Management,NA,NA,1751.1939999999886,NA
2026,Direct N2O Emissions from Manure Management,NA,NA,1831.2097000000067,NA
2027,Direct N2O Emissions from Manure Management,NA,NA,1911.2253999999957,NA
2028,Direct N2O Emissions from Manure Management,NA,NA,1991.2411000000138,NA
2029,Direct N2O Emissions from Manure Management,NA,NA,2071.256800000003,NA
2030,Direct N2O Emissions from Manure Management,NA,NA,2151.272500000021,NA
2031,Direct N2O Emissions from Manure Management,NA,NA,2231.28820000001,NA
2032,Direct N2O Emissions from Manure Management,NA,NA,2311.303900000028,NA
2033,Direct N2O Emissions from Manure Management,NA,NA,2391.319600000017,NA
2034,Direct N2O Emissions from Manure Management,NA,NA,2471.335300000035,NA
2035,Direct N2O Emissions from Manure Management,NA,NA,2551.351000000024,NA
2036,Direct N2O Emissions from Manure Management,NA,NA,2631.3667000000423,NA
2037,Direct N2O Emissions from Manure Management,NA,NA,2711.3824000000313,NA
2038,Direct N2O Emissions from Manure Management,NA,NA,2791.3981000000495,NA
2039,Direct N2O Emissions from Manure Management,NA,NA,2871.4138000000385,NA
2040,Direct N2O Emissions from Manure Management,NA,NA,2951.4295000000566,NA
2041,Direct N2O Emissions from Manure Management,NA,NA,3031.4452000000456,NA
2042,Direct N2O Emissions from Manure Management,NA,NA,3111.4609000000637,NA
2043,Direct N2O Emissions from Manure Management,NA,NA,3191.4766000000527,NA
2044,Direct N2O Emissions from Manure Management,NA,NA,3271.492300000071,NA
2045,Direct N2O Emissions from Manure Management,NA,NA,3351.50800000006,NA
2046,Direct N2O Emissions from Manure Management,NA,NA,3431.523700000078,NA
2047,Direct N2O Emissions from Manure Management,NA,NA,3511.539400000067,NA
2048,Direct N2O Emissions from Manure Management,NA,NA,3591.555100000085,NA
2049,Direct N2O Emissions from Manure Management,NA,NA,3671.570800000103,NA
2050,Direct N2O Emissions from Manure Management,NA,NA,3751.586500000092,NA
2010,Domestic Aviation,706,0,6,NA
2015,Domestic Aviation,1335.1,0.261,9.899,NA
2020,Domestic Aviation,654.594,0.128,4.854,NA
2021,Domestic Aviation,867.7210666666488,0.2064666666666568,6.230066666666545,NA
2022,Domestic Aviation,862.5804666666445,0.21926666666665895,6.115466666666492,NA
2023,Domestic Aviation,857.439866666642,0.23206666666665754,6.000866666666468,NA
2024,Domestic Aviation,852.2992666666378,0.24486666666665968,5.886266666666444,NA
2025,Domestic Aviation,847.1586666666335,0.2576666666666583,5.77166666666642,NA
2026,Domestic Aviation,842.0180666666311,0.27046666666665686,5.657066666666367,NA
2027,Domestic Aviation,836.8774666666268,0.283266666666659,5.542466666666343,NA
2028,Domestic Aviation,831.7368666666225,0.2960666666666576,5.4278666666663185,NA
2029,Domestic Aviation,826.5962666666201,0.30886666666665974,5.313266666666294,NA
2030,Domestic Aviation,821.4556666666158,0.32166666666665833,5.1986666666662416,NA
2031,Domestic Aviation,816.3150666666115,0.3344666666666569,5.084066666666217,NA
2032,Domestic Aviation,811.1744666666091,0.34726666666665906,4.969466666666193,NA
2033,Domestic Aviation,806.0338666666048,0.36006666666665765,4.854866666666169,NA
2034,Domestic Aviation,800.8932666666005,0.3728666666666598,4.740266666666116,NA
2035,Domestic Aviation,795.7526666665981,0.3856666666666584,4.625666666666092,NA
2036,Domestic Aviation,790.6120666665938,0.398466666666657,4.511066666666068,NA
2037,Domestic Aviation,785.4714666665895,0.4112666666666591,4.3964666666660435,NA
2038,Domestic Aviation,780.3308666665871,0.4240666666666577,4.281866666665991,NA
2039,Domestic Aviation,775.1902666665828,0.4368666666666563,4.167266666665967,NA
2040,Domestic Aviation,770.0496666665786,0.44966666666665844,4.052666666665942,NA
2041,Domestic Aviation,764.9090666665761,0.46246666666665703,3.938066666665918,NA
2042,Domestic Aviation,759.7684666665718,0.4752666666666592,3.8234666666658654,NA
2043,Domestic Aviation,754.6278666665676,0.48806666666665777,3.708866666665841,NA
2044,Domestic Aviation,749.4872666665651,0.5008666666666564,3.594266666665817,NA
2045,Domestic Aviation,744.34666666656085,0.5136666666666585,3.4796666666657927,NA
2046,Domestic Aviation,739.2060666665566,0.5264666666666571,3.36506666666574,NA
2047,Domestic Aviation,734.0654666665541,0.5392666666666592,3.250466666665716,NA
2048,Domestic Aviation,728.9248666665499,0.5520666666666578,3.1358666666656916,NA
2049,Domestic Aviation,723.7842666665456,0.5648666666666564,3.0212666666656673,NA
2050,Domestic Aviation,718.6436666665431,0.5776666666666586,2.906666666665643,NA
2010,Energy Industries,32803,49,168,NA
2015,Energy Industries,51415.027,22.852,172.253,NA
2020,Energy Industries,74183.342,40.285,288.636,NA
2021,Energy Industries,77628.66153333243,32.150000000001,282.01126666666823,NA
2022,Energy Industries,81766.695733333,31.27850000000103,294.07486666666955,NA
2023,Energy Industries,85904.72993333358,30.407000000001062,306.13846666667087,NA
2024,Energy Industries,90042.76413333416,29.535500000001093,318.2020666666722,NA
2025,Energy Industries,94180.7983333338,28.664000000001124,330.2656666666735,NA
2026,Energy Industries,98318.83253333438,27.792500000001155,342.3292666666748,NA
2027,Energy Industries,102456.86673333496,26.921000000001186,354.3928666666761,NA
2028,Energy Industries,106594.90093333554,26.049500000001217,366.45646666667744,NA
2029,Energy Industries,110732.93513333518,25.178000000001248,378.52006666667876,NA
2030,Energy Industries,114870.96933333483,24.30650000000128,390.5836666666801,NA
2031,Energy Industries,119009.00353333633,23.43500000000131,402.6472666666814,NA
2032,Energy Industries,123147.03773333598,22.56350000000134,414.7108666666827,NA
2033,Energy Industries,127285.07193333749,21.69200000000137,426.774466666684,NA
2034,Energy Industries,131423.10613333713,20.820500000001402,438.8380666666817,NA
2035,Energy Industries,135561.14033333678,19.949000000001433,450.901666666683,NA
2036,Energy Industries,139699.1745333383,19.077500000001464,462.96526666668433,NA
2037,Energy Industries,143837.20873333793,18.206000000001495,475.02886666668564,NA
2038,Energy Industries,147975.24293333758,17.334500000001754,487.09246666668696,NA
2039,Energy Industries,152113.27713333908,16.463000000001784,499.1560666666883,NA
